row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,20240626-R4CC.mzML Peak area,20240626-R4H.mzML Peak area,20240626-R4G.mzML Peak area,20240626-R4MC.mzML Peak area,
7,120.03989429074534,3.125272,,,,,,,,,,,1643.6475,15306.374,22891.94,0,
101,149.0172305204634,12.59565,,,,10,,,,,,,3019.255,3981.1882,7742.848,0,
83,163.06895105243987,12.187439,,,,,,,,,,,14489.839,19402.52,18491.889,0,
84,163.07328657593465,12.158025,,,,,,,,,,,3015.0186,0,0,17735.578,
33,163.14200809862578,7.6188774,,,,0,,,,,,,13590.36,13661.0625,14422.851,0,
42,172.16291855826842,8.772344,,,,,,,,,,,59698.555,7457.1445,68025.12,0,
43,172.16762636733785,8.777575,,,,,,,,,,,41796.805,0,0,41605.87,
2,181.09228910216217,2.3592582,,,,,,,,,,,6611.853,0,15278.956,0,
3,185.12026797843723,2.418375,,,,,,,,,,,0,11216.903,8719.682,0,
22,186.05140931182612,6.364689,,,,,,,,,,,7363.898,493.888,8970.131,0,
34,191.13595871401722,7.6188774,,,,0,,,,,,,33941.25,34550.305,36283.24,0,
71,198.1849278244226,10.4865,,,,,,,,,,,0,0,0,19246.89,
82,203.1734035631561,12.011683,,,,,,,,,,,9613.985,0,11572.36,0,
102,205.07763819891954,12.59565,,,,10,,,,,,,2431.5022,3270.4607,5464.569,0,
35,209.1457100169172,7.6188774,,,,0,,,,,,,79636.62,79807.19,87552.03,0,
31,209.14595759253598,7.4668164,,,,,,,,,,,9855.67,11017.865,9848.847,0,
9,211.1363307598131,3.551878,,,,,,,,,,,89109.055,99662.79,106924.14,0,
11,211.1364062682259,4.0614166,,,,,,,,,,,73960.08,93070.71,93755.51,0,
8,211.14211437680802,3.5657668,,,,,,,,,,,68249.8,0,0,23689.912,
12,211.14223902931616,4.0721664,,,,,,,,,,,17281.658,0,0,25315.844,
6,212.10867328332347,3.0554,,,,,,,,,,,0,356291.7,35131.156,0,
4,212.11642538261367,3.050825,,,,,,,,,,,3427.022,0,0,370278.5,
19,212.1584961653815,6.083658,,,,,,,,,,,7345.162,0,289.93573,0,
39,213.09058620748104,8.1483,,,,,,,,,,,0,14404.456,0,0,
40,213.1022074731396,8.166367,,,,,,,,,,,0,0,0,21481.023,
16,213.1521151441951,5.1412,,,,,,,,,,,15928.516,20357.156,20771.057,0,
38,225.140092450207,7.847567,,,,,,,,,,,175911.66,195667.77,189159.02,0,
